,confirm,suspect,heal,dead,severe,input,newConfirm,newDead,newHeal
昆明,53,0,53,0,0,,,,
昭通市,25,0,25,0,0,,,,
西双版纳州,15,0,14,1,0,,,,
玉溪,14,0,13,1,0,,,,
大理,13,0,13,0,0,,,,
曲靖,13,0,13,0,0,,,,
红河,9,0,9,0,0,,,,
保山市,9,0,9,0,0,,,,
丽江市,7,0,7,0,0,,,,
德宏州,5,0,5,0,0,,,,
普洱,4,0,4,0,0,,,,
楚雄州,4,0,4,0,0,,,,
文山州,2,0,2,0,0,,,,
临沧,1,0,1,0,0,,,,
丽江,0,0,0,0,0,,,,
德宏,0,0,0,0,0,,,,
楚雄,0,0,0,0,0,,,,
迪庆藏族自治州,0,0,0,0,0,,,,
保山,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
怒江傈僳族自治州,0,0,0,0,0,,,,
西双版纳,0,0,0,0,0,,,,
昭通,0,0,0,0,0,,,,
甘肃,187,0,180,2,0,0.0,,,
境外输入,95,0,90,0,0,,,,
兰州,37,0,35,2,0,,,,
天水,12,0,12,0,0,,,,
定西,9,0,9,0,0,,,,
平凉,9,0,9,0,0,,,,
甘南州,8,0,8,0,0,,,,
白银,4,0,4,0,0,,,,
陇南,4,0,4,0,0,,,,
临夏,3,0,3,0,0,,,,
庆阳,3,0,3,0,0,,,,
张掖,2,0,2,0,0,,,,
金昌,1,0,1,0,0,,,,
酒泉,0,0,0,0,0,,,,
嘉峪关,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
武威,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
甘南,0,0,0,0,0,,,,
海南,171,0,165,6,0,0.0,,,
三亚,55,0,54,1,0,,,,
海口,39,0,39,0,0,,,,
儋州,15,0,14,1,0,,,,
万宁,13,0,13,0,0,,,,
澄迈县,9,0,8,1,0,,,,
昌江县,7,0,7,0,0,,,,
琼海,6,0,5,1,0,,,,
临高县,6,0,6,0,0,,,,
陵水县,4,0,4,0,0,,,,
文昌,3,0,3,0,0,,,,
东方,3,0,2,1,0,,,,
定安县,3,0,2,1,0,,,,
保亭,3,0,3,0,0,,,,
乐东,2,0,2,0,0,,,,
境外输入,2,0,2,0,0,,,,
琼中县,1,0,1,0,0,,,,
白沙黎族自治县,0,0,0,0,0,,,,
保亭县,0,0,0,0,0,,,,
西沙群岛,0,0,0,0,0,,,,
未明确地区,0,0,1,0,0,,,,
中沙群岛的岛礁及其海域,0,0,0,0,0,,,,
屯昌县,0,0,0,0,0,,,,
五指山,0,0,0,0,0,,,,
昌江,0,0,0,0,0,,,,
陵水,0,0,0,0,0,,,,
南沙群岛,0,0,0,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
贵州,147,0,145,2,0,0.0,,,
贵阳,36,0,35,1,0,,,,
遵义,32,0,32,0,0,,,,
毕节,23,0,23,0,0,,,,
黔南州,17,0,17,0,0,,,,
黔东南州,10,0,10,0,0,,,,
六盘水,10,0,9,1,0,,,,
铜仁,10,0,10,0,0,,,,
黔西南州,4,0,4,0,0,,,,
安顺,4,0,4,0,0,,,,
境外输入,1,0,1,0,0,,,,
境外输入人员,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
宁夏,75,0,75,0,0,0.0,,,
银川,34,0,34,0,0,,,,
吴忠,28,0,28,0,0,,,,
固原,5,0,5,0,0,,,,
中卫,3,0,3,0,0,,,,
境外输入,3,0,3,0,0,,,,
石嘴山,1,0,1,0,0,,,,
宁东管委会,1,0,1,0,0,,,,
宁东,0,0,0,0,0,,,,
未明确地区,0,0,0,0,0,,,,
澳门,47,0,46,0,0,0.0,,,
未明确地区,47,0,46,0,0,,,,
青海,18,0,18,0,0,0.0,,,
西宁,15,0,15,0,0,,,,
海北州,3,0,3,0,0,,,,
未明确地区,0,0,0,0,0,,,,
西藏,1,0,1,0,0,0.0,,,
拉萨,1,0,1,0,0,,,,
未明确地区,0,0,0,0,0,,,,
日本本土,387480,0,325436,5688,0,0.0,,,
东京,99276,0,83768,880,0,0.0,,,
大阪府,43509,0,36956,915,0,0.0,,,
神奈川县,40424,0,36092,468,0,0.0,,,
埼玉县,24982,0,20013,343,0,0.0,,,
爱知县,23925,0,20476,393,0,0.0,,,
千叶县,22114,0,16026,243,0,0.0,,,
北海道,17334,0,15302,597,0,0.0,,,
兵库县,16409,0,13609,398,0,0.0,,,
福冈县,16057,0,12358,184,0,0.0,,,
京都府,8371,0,6792,116,0,0.0,,,
冲绳县,7529,0,6546,91,0,0.0,,,
东京都,5544,0,4824,313,0,0.0,,,
广岛县,4802,0,4286,90,0,0.0,,,
茨城县,4758,0,3872,63,0,0.0,,,
静冈县,4575,0,3725,75,0,0.0,,,
岐阜县,4101,0,3614,66,0,0.0,,,
群马县,3806,0,3368,69,0,0.0,,,
栃木县,3756,0,3024,46,0,0.0,,,
宫城县,3433,0,2975,22,0,0.0,,,
熊本县,3332,0,2815,64,0,0.0,,,
奈良县,2957,0,2641,38,0,0.0,,,
冈山县,2329,0,2013,21,0,0.0,,,
长野县,2280,0,2036,35,0,0.0,,,
三重县,2173,0,1744,30,0,0.0,,,
滋贺县,2115,0,1680,30,0,0.0,,,
宫崎县,1809,0,1571,17,0,0.0,,,
福岛县,1718,0,1404,44,0,0.0,,,
鹿儿岛县,1609,0,1394,21,0,0.0,,,
长崎县,1522,0,1199,26,0,0.0,,,
石川县,1457,0,1290,59,0,0.0,,,
山口县,1218,0,837,19,0,0.0,,,
大分县,1145,0,931,17,0,0.0,,,
检疫等工作人员,1055,0,0,0,0,0.0,,,
和歌山县,1054,0,902,13,0,0.0,,,
爱媛县,993,0,826,18,0,0.0,,,
佐贺县,956,0,801,6,0,0.0,,,
新潟县,905,0,767,9,0,0.0,,,
山梨县,901,0,840,15,0,0.0,,,
富山县,873,0,783,27,0,0.0,,,
高知县,846,0,792,14,0,0.0,,,
钻石公主号邮轮,712,0,655,13,0,0.0,,,
青森县,711,0,643,13,0,0.0,,,
兵庫县,699,0,652,42,0,0.0,,,
香川县,633,0,457,15,0,0.0,,,
福井县,510,0,419,19,0,0.0,,,
山形县,500,0,430,13,0,0.0,,,
厚生劳动省工作人员,386,0,2,0,0,0.0,,,
德岛县,384,0,291,14,0,0.0,,,
岛根县,271,0,248,0,0,0.0,,,
秋田县,260,0,207,1,0,0.0,,,
鸟取县,199,0,161,2,0,0.0,,,
武汉包机回国者,173,0,0,2,0,0.0,,,
广岛,168,0,162,3,0,0.0,,,
愛媛县,82,0,64,4,0,0.0,,,
